,ATL,ORD,LAX,DFW,SFO,DEN,MSP,DTW,MIA,LAS,EWR,PHX,IAH,JFK,STL,MCO,BOS,PHL,CVG,HNL,CLT,SLC,IAD,PIT,BWI,TPA,SAN,CLE,PDX,FLL,MCI,MEM,MSY,RDU,BNA,IND,AUS,SMF,RSW
BWI,1154995.8810210929,1316617.8790619927,4702778.771134452,2427005.41575469,5092847.922261992,3119041.6336413906,2031899.4383697382,867607.4862276096,1818604.2644198944,4305967.161896325,354881.92061985494,4013017.011237039,2423146.8608742985,385451.7738302722,1526489.797808572,1533257.487282418,785664.2686505289,188002.68569726255,890685.9232640626,9337327.769746285,730188.1021704953,3937809.0959807606,93706.40818562158,440297.61019375233,0.0,1636788.7162309843,4597204.185663236,662765.5368531628,5203671.0158544555,1781491.190097181,2008903.888481908,1589948.5953336747,1958675.6476660594,519667.1101518828,1194048.6157146392,1074416.8850511431,2635299.0014848257,5001244.587887469,1773989.6709428234
TPA,763937.7869652105,2003217.4616102006,4068105.784756188,1735309.7714536139,4616140.55605885,2938390.955217739,2640371.4142134152,1949103.442032997,369488.3874270462,3784389.7100635823,1956925.0924425877,3356269.621713413,1448541.6893941779,1971145.3587877473,1683519.6443497802,147847.62815624612,2350964.4192341003,1795442.8841508795,1501698.3970372735,8432041.278183702,963514.8405796154,3708775.004355951,1572901.5474605323,1711009.7541733866,1636788.7162309843,0.0,3906548.569549309,1828956.0983646929,5097694.447941138,356056.86803066474,2035793.3583262924,1240935.046722985,897451.0702649615,1118532.8286387336,1166977.1445798588,1633627.04579628,1707757.106297336,4577720.137909058,199968.5163970624
SAN,3649016.0095003634,3508834.002959178,210553.29649248984,2243414.573198998,881116.5247911516,1706886.6541433232,3186979.7148040645,3995537.6934831818,4202196.455210257,505839.93486148573,4915406.92868546,584573.2329414081,2458447.60711287,4955915.916571084,3097674.6514241854,4032874.2616001787,5317009.470647519,4772969.817032363,3723110.581649072,4754605.328235458,4048704.676866261,1261975.5800643214,4504827.221449419,4252840.549629715,4597204.185663236,3906548.569549309,0.0,4116889.4603759716,1949942.561251408,4210068.917585737,2660464.9542776886,3045155.2040306767,3019271.8386323396,4295902.2990195295,3427267.261719472,3572084.7311143,2198905.6347201965,953607.0748245846,4023771.51724057
CLE,1130186.6918374812,679317.4441714289,4203455.707451424,2068484.483383478,4544348.369691867,2550822.336842027,1372280.9842489592,205713.38054341346,2106929.6690463796,3784498.2848491576,861621.9533139034,3538879.3289114526,2173918.517706217,905600.2033918574,1024576.5573552973,1771062.0529011586,1215590.2702961443,769583.3928818615,465995.53484897816,8871450.84147537,886025.1179212219,3355324.608846082,607058.4684757086,225374.4223115153,662765.5368531628,1828956.0983646929,4116889.4603759716,0.0,4581194.544196719,2073806.1227189223,1464955.5090640252,1278658.6818538613,1828315.9306190878,859921.4852297745,927183.7958231551,553586.0305212642,2341616.7361939894,4441580.65121182,2007641.5335351813
PDX,4589460.524938982,3901975.865180742,1756652.423951845,3384673.5305507034,1189198.185579658,2176343.6603602627,3272051.0912050325,4399744.301633808,5449294.970656216,1629209.6808482236,5442712.425313512,2119673.2549007447,3755567.4242713647,5486717.362730738,3732241.5968158604,5190457.52010035,5764918.438950161,5342619.457297604,4335970.603493354,5123737.0302202385,4880297.097392691,1391316.9908012885,5123925.49795385,4779649.358478718,5203671.0158544555,5097694.447941138,1949942.561251408,4581194.544196719,0.0,5445294.771716778,3246250.4356375136,3946404.1424825643,4225325.052101055,5082539.4806008665,4235559.567022923,4138081.421136771,3533094.0801186166,1042591.360287209,5262030.057489973
FLL,1082308.4779614708,2316442.2775787315,4377387.252351624,2072728.3146996056,4939115.370397059,3290609.9501840207,2974898.613402315,2213636.2480220725,37838.99211729976,4108520.684545471,2069173.4317153401,3669685.583858943,1761337.654027135,2076213.0429260656,2026868.6609568484,321991.7137536562,2431164.683763898,1918815.7603625085,1792498.674291165,8676754.738801392,1188187.9619852728,4055150.428942432,1731869.0084806397,1929570.254864364,1781491.190097181,356056.86803066474,4210068.917585737,2073806.1227189223,5445294.771716778,0.0,2390000.930013838,1595371.2490687375,1228858.5193015155,1284737.505567371,1497654.2343144934,1941249.887738425,2017529.8519683771,4905899.9673324665,187448.8273059454
MCI,1387847.8861510612,853986.3941350379,2740349.8795232167,919907.0755517017,3088453.8940789034,1111631.54727593,854865.2781609017,1335253.9533636773,2405255.561637862,2319660.491780409,2296045.8228774373,2088868.266762108,1264776.0332392054,2338563.910434054,489914.88725782343,2088482.5316156773,2677549.9539995207,2169289.017400331,1118896.907634732,7413608.815971924,1635984.8699134572,1934169.2963479594,1921830.3152855646,1621298.6177073747,2008903.888481908,2035793.3583262924,2660464.9542776886,1464955.5090640252,3246250.4356375136,2390000.930013838,0.0,794866.3233149764,1355692.5110995288,1836903.6384427773,999828.45168521,939208.0833884294,1278270.7277364812,2993188.8005417306,2228610.0925589227
MEM,646089.062362635,1014690.2973082236,3168442.270714851,837169.556791911,3624099.456998549,1770231.1559797723,1478140.9136687424,1261174.7211410792,1610407.1504362896,2806099.410152487,1931993.6918688072,2461811.0217989953,896102.8060106211,1968419.780441282,517947.34314384987,1296801.1786095165,2356768.3077576016,1774840.0868551373,813489.358458004,7761326.241503683,1005886.9378959776,2580186.278333956,1496247.6292386488,1329026.9744838902,1589948.5953336747,1240935.046722985,3045155.2040306767,1278658.6818538613,3946404.1424825643,1595371.2490687375,794866.3233149764,0.0,667677.8423097248,1250795.7275453543,395937.4501383319,772946.8470789931,1068827.49452971,3555833.286411243,1434026.0666061135
MSY,805672.9580695201,1675675.2705733648,3176230.2400846584,844521.2727999282,3718737.4641565457,2092618.6216275643,2126018.497437992,1856709.4788416696,1229309.1396858303,2886951.152212981,2313505.275319836,2462528.3790188334,565882.3390978137,2342373.236786362,1183102.353777851,1015974.7900830137,2743673.6110514514,2145357.677114775,1374859.9942069582,7608545.988173073,1245687.7284082384,2834030.686327608,1870183.2287979973,1817811.0408418584,1958675.6476660594,897451.0702649615,3019271.8386323396,1828315.9306190878,4225325.052101055,1228858.5193015155,1355692.5110995288,667677.8423097248,0.0,1496847.8103430837,907267.1737785614,1393918.9150353118,824629.202183219,3680706.5506874598,1042560.7366427016
RDU,697484.609887482,1339378.1759934751,4418350.827719052,2071061.5099839445,4858167.129535183,2935867.2062314902,2078961.5876110669,1041501.7765925141,1320942.8087038416,4048156.4316652687,855136.9436451147,3712602.0572876986,2001929.135657836,875860.7038997881,1350557.571652981,1019956.3476439954,1272390.1289382372,688073.139333623,791455.5760487389,9002365.442250773,256562.16343484758,3760108.877495098,454772.2734707012,673339.544084688,519667.1101518828,1118532.8286387336,4295902.2990195295,859921.4852297745,5082539.4806008665,1284737.505567371,1836903.6384427773,1250795.7275453543,1496847.8103430837,0.0,879045.648416697,995581.4344786025,2232574.870824893,4781154.450003959,1262150.843830238
BNA,420407.7211017597,851033.7916246657,3544582.8557015457,1232967.6642946391,3979188.381159497,2071614.1091393852,1477276.0911848505,950134.3851974771,1520752.7915748188,3169673.6391611947,1536496.4146314405,2842935.8992512547,1263428.5764331582,1572695.9002876563,551633.6168108532,1177516.5287470412,1962220.9709010515,1378920.4199303468,467891.3881728739,8152606.266225761,650505.2400497765,2893542.0255921246,1100344.356782123,948163.0347813211,1194048.6157146392,1166977.1445798588,3427267.261719472,927183.7958231551,4235559.567022923,1497654.2343144934,999828.45168521,395937.4501383319,907267.1737785614,879045.648416697,0.0,508976.08401571895,1455070.7963904976,3903147.0505294637,1366799.1582482504
IND,869992.6530482855,378037.2002225359,3664134.5054766084,1523228.0405943429,4027602.716886263,2046002.6162136288,1095441.2677218511,492481.0386942905,1968391.5933805113,3253072.3065724196,1357290.7210450785,2991994.8782045795,1663025.830898894,1399636.8671266285,474570.0312717877,1619766.7176038374,1746267.6113689963,1230652.3026124602,205078.9212541908,8325650.819109798,868457.0212608748,2863523.326965052,990174.7006219835,684106.6631473119,1074416.8850511431,1633627.04579628,3572084.7311143,553586.0305212642,4138081.421136771,1941249.887738425,939208.0833884294,772946.8470789931,1393918.9150353118,995581.4344786025,508976.08401571895,0.0,1811323.3976513748,3931941.3948131837,1830428.944005026
AUS,1540726.749310107,1957747.8132450648,2361282.796665984,359424.04849522474,2926049.521539713,1530796.4028311279,2132083.5354238455,2303389.8563300157,2011975.6466687212,2098554.678091675,2984594.8303646734,1652156.6728852196,259780.99779672822,3018952.3941698773,1413169.3780329868,1834353.3772702012,3413310.894758524,2822687.253270219,1879272.198262991,6797755.174081439,1976053.708166101,2155951.772569236,2542283.661608603,2397643.5596344587,2635299.0014848257,1707757.106297336,2198905.6347201965,2341616.7361939894,3533094.0801186166,2017529.8519683771,1278270.7277364812,1068827.49452971,824629.202183219,2232574.870824893,1455070.7963904976,1811323.3976513748,0.0,2901071.8031251268,1830349.9452227578
SMF,4195428.2418070715,3780481.1505102105,746501.5977051329,2846924.096316221,175613.08781585252,1890758.4175006326,3290677.6534889583,4287597.664603828,4903384.383422337,804856.8225492326,5286928.940406011,1289960.0747740527,3150077.1419786275,5329794.281230771,3475514.1860437877,4690222.740689439,5656786.68836514,5162421.920312818,4110582.6827605893,4627330.354115094,4550836.077820361,1111904.1135465158,4913236.945650301,4611269.732895244,5001244.587887469,4577720.137909058,953607.0748245846,4441580.65121182,1042591.360287209,4905899.9673324665,2993188.8005417306,3555833.286411243,3680706.5506874598,4781154.450003959,3903147.0505294637,3931941.3948131837,2901071.8031251268,0.0,4718571.849297738
RSW,961667.8045053267,2201282.17133586,4190543.4447457227,1886832.5999620783,4751666.545702638,3110914.8364871526,2840304.412659366,2134631.3350360496,187280.4230987634,3921083.34639604,2080557.9984744098,3482500.4020758998,1573972.2056398909,2091474.3457103723,1882651.1011210578,242712.35274392646,2460654.8729896178,1923614.4222012812,1694331.454524851,8502878.311182838,1130975.4953038597,3871458.218706717,1716168.1610189304,1879635.1104516448,1773989.6709428234,199968.5163970624,4023771.51724057,2007641.5335351813,5262030.057489973,187448.8273059454,2228610.0925589227,1434026.0666061135,1042560.7366427016,1262150.843830238,1366799.1582482504,1830428.944005026,1830349.9452227578,4718571.849297738,0.0
